date,rate
03/09/2015,1.531910
04/09/2015,1.526450
05/09/2015,1.519099
06/09/2015,1.516898
07/09/2015,1.516898
08/09/2015,1.528666
09/09/2015,1.537622
10/09/2015,1.536098
11/09/2015,1.545523
12/09/2015,1.542639
13/09/2015,1.542948
14/09/2015,1.542948
15/09/2015,1.542246
16/09/2015,1.534649
17/09/2015,1.549295
18/09/2015,1.553398
19/09/2015,1.556965
20/09/2015,1.553253
21/09/2015,1.553253
22/09/2015,1.550207
23/09/2015,1.536842
24/09/2015,1.525437
25/09/2015,1.524472
26/09/2015,1.516760
27/09/2015,1.518211
28/09/2015,1.518211
29/09/2015,1.517048
30/09/2015,1.516070
01/10/2015,1.513546
02/10/2015,1.513546
03/10/2015,1.519099
04/10/2015,1.517796
05/10/2015,1.517796
06/10/2015,1.514234
07/10/2015,1.523252
08/10/2015,1.531745
09/10/2015,1.532567
10/10/2015,1.532849
11/10/2015,1.530843
12/10/2015,1.530843
13/10/2015,1.536216
14/10/2015,1.524193
15/10/2015,1.544449
16/10/2015,1.550388
17/10/2015,1.545058
18/10/2015,1.543555
19/10/2015,1.543555
20/10/2015,1.547353
21/10/2015,1.546001
22/10/2015,1.543925
23/10/2015,1.537953
24/10/2015,1.534213
25/10/2015,1.531394
26/10/2015,1.531452
27/10/2015,1.535709
28/10/2015,1.530948
29/10/2015,1.532555
30/10/2015,1.529988
31/10/2015,1.544879
01/11/2015,1.542603
02/11/2015,1.542603
03/11/2015,1.542972
04/11/2015,1.539883
05/11/2015,1.536570
06/11/2015,1.523693
07/11/2015,1.506648
08/11/2015,1.504948
09/11/2015,1.504948
10/11/2015,1.512402
11/11/2015,1.510951
12/11/2015,1.520797
13/11/2015,1.520994
14/11/2015,1.521375
15/11/2015,1.523450
16/11/2015,1.523450
17/11/2015,1.519526
18/11/2015,1.521607
19/11/2015,1.519757
20/11/2015,1.531628
21/11/2015,1.520207
22/11/2015,1.519203
23/11/2015,1.519203
24/11/2015,1.512402
25/11/2015,1.505571
26/11/2015,1.510802
27/11/2015,1.512104
28/11/2015,1.504212
29/11/2015,1.503748
30/11/2015,1.503748
01/12/2015,1.504902
02/12/2015,1.506932
03/12/2015,1.493607
04/12/2015,1.510118
05/12/2015,1.510574
06/12/2015,1.511156
07/12/2015,1.511156
08/12/2015,1.507613
09/12/2015,1.500499
10/12/2015,1.516990
11/12/2015,1.516760
12/12/2015,1.521375
13/12/2015,1.521757
14/12/2015,1.521757
15/12/2015,1.513317
16/12/2015,1.504698
17/12/2015,1.501389
18/12/2015,1.487431
19/12/2015,1.490802
20/12/2015,1.489225
21/12/2015,1.489225
22/12/2015,1.488982
23/12/2015,1.481043
24/12/2015,1.486768
25/12/2015,1.494322
26/12/2015,1.491157
27/12/2015,1.491647
28/12/2015,1.491647
29/12/2015,1.488317
30/12/2015,1.480166
31/12/2015,1.483459
01/01/2016,1.473839
02/01/2016,1.474448
03/01/2016,1.474448
04/01/2016,1.474448
05/01/2016,1.468321
06/01/2016,1.466706
07/01/2016,1.462202
08/01/2016,1.457513
09/01/2016,1.451379
10/01/2016,1.452064
11/01/2016,1.452064
12/01/2016,1.454757
13/01/2016,1.439201
14/01/2016,1.446299
15/01/2016,1.439885
16/01/2016,1.429797
17/01/2016,1.425588
18/01/2016,1.425588
19/01/2016,1.427144
20/01/2016,1.416631
21/01/2016,1.416631
22/01/2016,1.418440
23/01/2016,1.430615
24/01/2016,1.426544
25/01/2016,1.426544
26/01/2016,1.424806
27/01/2016,1.433897
28/01/2016,1.427348
29/01/2016,1.435750
30/01/2016,1.417635
31/01/2016,1.424501
01/02/2016,1.424501
02/02/2016,1.436101
03/02/2016,1.439346
04/02/2016,1.457853
05/02/2016,1.457938
06/02/2016,1.446288
07/02/2016,1.450148
08/02/2016,1.450148
09/02/2016,1.441203
10/02/2016,1.450747
11/02/2016,1.447387
12/02/2016,1.445400
13/02/2016,1.446132
14/02/2016,1.450705
15/02/2016,1.450705
16/02/2016,1.444252
17/02/2016,1.429184
18/02/2016,1.431844
19/02/2016,1.432203
20/02/2016,1.433692
21/02/2016,1.440652
22/02/2016,1.440652
23/02/2016,1.414627
24/02/2016,1.405383
25/02/2016,1.394797
26/02/2016,1.394700
27/02/2016,1.386578
28/02/2016,1.387203
29/02/2016,1.387203
01/03/2016,1.392157
02/03/2016,1.393922
03/03/2016,1.405057
04/03/2016,1.416160
05/03/2016,1.423589
06/03/2016,1.423396
07/03/2016,1.423396
08/03/2016,1.423548
09/03/2016,1.420697
10/03/2016,1.422677
11/03/2016,1.430001
12/03/2016,1.443210
13/03/2016,1.438445
14/03/2016,1.438445
15/03/2016,1.432049
16/03/2016,1.415028
17/03/2016,1.409245
18/03/2016,1.448551
19/03/2016,1.448121
20/03/2016,1.448153
21/03/2016,1.448153
22/03/2016,1.437401
23/03/2016,1.421000
24/03/2016,1.409245
25/03/2016,1.414827
26/03/2016,1.412659
27/03/2016,1.415458
28/03/2016,1.415458
29/03/2016,1.423700
30/03/2016,1.436678
31/03/2016,1.438849
01/04/2016,1.439263
02/04/2016,1.422273
03/04/2016,1.422900
04/04/2016,1.422647
05/04/2016,1.428571
06/04/2016,1.414827
07/04/2016,1.413428
08/04/2016,1.405877
09/04/2016,1.411632
10/04/2016,1.412659
11/04/2016,1.412659
12/04/2016,1.423356
13/04/2016,1.425344
14/04/2016,1.420596
15/04/2016,1.416230
16/04/2016,1.421201
17/04/2016,1.420202
18/04/2016,1.420202
19/04/2016,1.428500
20/04/2016,1.439367
21/04/2016,1.437815
22/04/2016,1.433045
23/04/2016,1.439678
24/04/2016,1.440600
25/04/2016,1.440600
26/04/2016,1.449748
27/04/2016,1.458396
28/04/2016,1.455699
29/04/2016,1.461646
30/04/2016,1.459801
01/05/2016,1.461550
02/05/2016,1.461550
03/05/2016,1.467998
04/05/2016,1.456876
05/05/2016,1.449485
06/05/2016,1.447597
07/05/2016,1.443501
08/05/2016,1.442991
09/05/2016,1.442991
10/05/2016,1.439253
11/05/2016,1.443408
12/05/2016,1.446236
13/05/2016,1.444356
14/05/2016,1.436905
15/05/2016,1.435925
16/05/2016,1.435925
17/05/2016,1.439802
18/05/2016,1.446602
19/05/2016,1.462887
20/05/2016,1.463143
21/05/2016,1.452180
22/05/2016,1.450032
23/05/2016,1.456452
24/05/2016,1.448845
25/05/2016,1.461732
26/05/2016,1.470415
27/05/2016,1.465438
28/05/2016,1.462758
29/05/2016,1.461913
30/05/2016,1.462544
31/05/2016,1.463486
01/06/2016,1.449433
02/06/2016,1.441774
03/06/2016,1.443428
04/06/2016,1.452992
05/06/2016,1.451547
06/06/2016,1.451547
07/06/2016,1.444836
08/06/2016,1.454948
09/06/2016,1.451337
10/06/2016,1.446341
11/06/2016,1.426544
12/06/2016,1.426198
13/06/2016,1.426198
14/06/2016,1.420959
15/06/2016,1.412260
16/06/2016,1.415719
17/06/2016,1.420596
18/06/2016,1.433384
19/06/2016,1.435802
20/06/2016,1.435750
21/06/2016,1.466544
22/06/2016,1.467233
23/06/2016,1.464686
24/06/2016,1.482701
25/06/2016,1.371930
26/06/2016,1.368045
27/06/2016,1.368045
28/06/2016,1.317592
29/06/2016,1.332765
30/06/2016,1.343616
01/07/2016,1.323180
02/07/2016,1.326330
03/07/2016,1.326357
04/07/2016,1.326357
05/07/2016,1.329416
06/07/2016,1.304351
07/07/2016,1.291381
08/07/2016,1.289898
09/07/2016,1.294373
10/07/2016,1.294750
11/07/2016,1.294750
12/07/2016,1.297597
13/07/2016,1.326110
14/07/2016,1.315720
15/07/2016,1.330530
16/07/2016,1.319131
17/07/2016,1.319044
18/07/2016,1.319044
19/07/2016,1.326357
20/07/2016,1.310298
21/07/2016,1.316716
22/07/2016,1.319192
23/07/2016,1.311003
24/07/2016,1.311329
25/07/2016,1.311329
26/07/2016,1.314147
27/07/2016,1.315037
28/07/2016,1.313396
29/07/2016,1.315703
30/07/2016,1.322655
31/07/2016,1.322953
01/08/2016,1.322953
02/08/2016,1.319583
03/08/2016,1.333814
04/08/2016,1.332436
05/08/2016,1.310839
06/08/2016,1.308678
07/08/2016,1.307096
08/08/2016,1.307096
09/08/2016,1.303025
10/08/2016,1.300103
11/08/2016,1.300483
12/08/2016,1.295295
13/08/2016,1.291047
14/08/2016,1.291873
15/08/2016,1.291873
16/08/2016,1.288170
17/08/2016,1.303781
18/08/2016,1.300898
19/08/2016,1.314060
20/08/2016,1.307360
21/08/2016,1.307677
22/08/2016,1.307002
23/08/2016,1.313370
24/08/2016,1.319557
25/08/2016,1.317650
26/08/2016,1.317436
27/08/2016,1.315097
28/08/2016,1.313301
29/08/2016,1.313845
30/08/2016,1.310616
31/08/2016,1.308216
01/09/2016,1.313370
02/09/2016,1.329699
03/09/2016,1.329655
04/09/2016,1.329442
05/09/2016,1.329398
06/09/2016,1.331026
07/09/2016,1.343544
08/09/2016,1.332800
09/09/2016,1.330672
10/09/2016,1.325908
11/09/2016,1.326700
12/09/2016,1.331203
13/09/2016,1.318131
14/09/2016,1.320481
15/09/2016,1.322751
16/09/2016,1.322401
17/09/2016,1.302592
18/09/2016,1.300001
19/09/2016,1.300500
20/09/2016,1.302932
21/09/2016,1.297353
22/09/2016,1.299545
23/09/2016,1.309415
24/09/2016,1.295840
25/09/2016,1.296899
26/09/2016,1.296899
27/09/2016,1.296344
28/09/2016,1.301914
29/09/2016,1.300728
30/09/2016,1.296176
01/10/2016,1.297859
02/10/2016,1.297901
03/10/2016,1.296294
04/10/2016,1.284192
05/10/2016,1.272678
06/10/2016,1.274860
07/10/2016,1.264542
08/10/2016,1.243936
09/10/2016,1.243495
10/10/2016,1.235788
11/10/2016,1.211534
12/10/2016,1.223541
13/10/2016,1.225490
14/10/2016,1.221299
15/10/2016,1.218851
16/10/2016,1.218999
17/10/2016,1.219401
18/10/2016,1.229559
19/10/2016,1.227295
20/10/2016,1.226392
21/10/2016,1.223391
22/10/2016,1.224597
23/10/2016,1.224597
24/10/2016,1.220398
25/10/2016,1.219512
26/10/2016,1.222793
27/10/2016,1.217137
28/10/2016,1.215658
29/10/2016,1.219096
30/10/2016,1.219200
31/10/2016,1.220703
